csv_name,db_species_id,db_german_name,db_latin_name,match_type
(Der Haselnußstrauch)loricus avelliana,113.0,Hasel,Corylus avellana,Special case: 'haselnuß' → 'hasel'
(Die Birke)Belula alba,111.0,Birke (alle Arten),Betula,Pattern match: Birke variant → Birke (alle Arten)
(Die Lerche) Pinus tarix,105.0,Europäische Lärche,Larix decidua,Special case: 'lerche' → 'europäische lärche'
(Die Rothbuche)Fagus sylvalica,123.0,Rotbuche,Fagus sylvatica,Special case: 'rothbuche' → 'rotbuche'
(Die Salweide)Salix caprea,124.0,Sal-Weide,Salix caprea,Special case: 'salweide' → 'sal-weide'
(Die Schlehe)Prunus spinosa,125.0,Schlehe,Prunus spinosa,Special case: 'schlehe' → 'schlehe'
(Gemeiner Hollunder)Sambucus nigra,129.0,Schwarzer Holunder,Sambucus nigra,Special case: 'gemeiner hollunder' → 'schwarzer holunder'
(Rosskastanie)Aesculus hyppocastanum,122.0,Rosskastanie,Aesculus hippocastanum,Special case: 'rosskastanie' → 'rosskastanie'
(Vogelbeerbaum)Sorbus aucuparia,103.0,Eberesche,Sorbus aucuparia,Special case: 'vogelbeerbaum' → 'eberesche'
1. Weißdorn,138.0,Zweigriffliger Weißdorn,Crataegus laevigata,Special case: 'weissdorn' → 'zweigriffliger weißdorn'
10. Haselnuß,113.0,Hasel,Corylus avellana,Special case: 'haselnuß' → 'hasel'
11. Lerche,105.0,Europäische Lärche,Larix decidua,Special case: 'lerche' → 'europäische lärche'
12. Gemeiner Hollunder,129.0,Schwarzer Holunder,Sambucus nigra,Partial German match: 'Gemeiner Holunder' → 'Schwarzer Holunder' (common: {'holunder'})
3. Schlehe,125.0,Schlehe,Prunus spinosa,Exact German match: 'Schlehe'
6. Wintereiche,132.0,Stiel-Eiche,Quercus robur,Special case: 'wintereiche' → 'stiel-eiche'
7. Haide,114.0,Heidekraut,Calluna vulgaris,Special case: 'haide' → 'heidekraut'
8. Linde,130.0,Sommer-Linde,Tilia platyphyllos,Special case: 'linde' → 'sommer-linde'
Acer Platanoides(Spitzahorn),131.0,Spitz-Ahorn,Acer platanoides,Exact Latin match: 'Acer Platanoides'
Aesculus Hyppocastanum (Rosskastanie),122.0,Rosskastanie,Aesculus hippocastanum,Exact Latin match: 'Aesculus hippocastanum'
Aesculus Hyppocastanum(Roßkastanie),122.0,Rosskastanie,Aesculus hippocastanum,Exact Latin match: 'Aesculus hippocastanum'
"Aesculus Hyppocastanum,(Roßkastanie)",122.0,Rosskastanie,Aesculus hippocastanum,Exact Latin match: 'Aesculus hippocastanum'
Alnus glutinosa(Schwarzerle),128.0,Schwarz-Erle,Alnus glutinosa,Exact Latin match: 'Alnus glutinosa'
